jrone_no,marka,model,ccm,snaga,motor,god,model_turbine,oe_1,oe_2,cena,query_jrone_no,query_oe1,query_oe2,ccm_numbers,snaga_numbers
8B39-300-893,RENAULT,MEGANE III Grandtour,1.5 DCI,106HP,K9K Euro5 5T,2009-,BV39,14411-4256R,5439-970-0076,508.4,8B39300893,144114256R,54399700076,1.5,106
8B39-300-893,RENAULT,MEGANE III Grandtour,1.5 DCI,106HP,K9K Euro5 5T,2009-,BV39,14411-6289R,5439-988-0087,508.4,8B39300893,144116289R,54399880087,1.5,106
8B39-300-893,RENAULT,SCENIC III,1.5 DCI,106HP,K9K Euro5 5T,2009-,BV39,144114256R,5439-988-0076,508.4,8B39300893,144114256R,54399880076,1.5,106
8B39-30M-037,AUDI,A3 TDI,1.9L D,105HP,BKC,2007-,BV39,038253010D,5439-970-0022,413.56,8B3930M037,038253010D,54399700022,1.9,105
8B39-30M-037,AUDI,A3 TDI,1.9L D,105HP,BKC,2003-2004,BV39,038253056G,5439-988-0011,413.56,8B3930M037,038253056G,54399880011,1.9,105
8B39-30M-037,AUDI,A3 TDI,1.9L D,105HP,BKC/BJB/BXE/BLS 8v Euro 4,2003-2009,BV39,038253014G,5439-988-0022,413.56,8B3930M037,038253014G,54399880022,1.9,105
8B39-30M-037,AUDI,A3  TDI,1.9L D,105HP,AVQ/BJB/BKC,2003-,BV39,038253016R,5439-970-0011,413.56,8B3930M037,038253016R,54399700011,1.9,105
8B39-30M-037,SEAT,Altea TDI,1.9L D,104HP,BJB,2004-2008,BV39,038253014G,5439-988-0022,413.56,8B3930M037,038253014G,54399880022,1.9,104
8B39-30M-037,SEAT,Leon TDI,1.9L D,105HP,BJB,2004-2009,BV39,038253014G,5439-970-0022,413.56,8B3930M037,038253014G,54399700022,1.9,105
8B39-30M-037,SEAT,Toledo TDI,1.9L D,104HP,BJB,2005-2010,BV39,038253014G,5439-988-0022,413.56,8B3930M037,038253014G,54399880022,1.9,104
8B39-30M-037,SEAT,Altea/Leon/Toledo TDI,1.9L D,105HP,BJB,2007-,BV39,038253010D,5439-970-0022,413.56,8B3930M037,038253010D,54399700022,1.9,105
8B39-30M-037,SKODA,Octavia,1.9L D,103HP,BJB/BKC,2004-,BV39,038253014G,5439-988-0022,413.56,8B3930M037,038253014G,54399880022,1.9,103
8B39-30M-037,SKODA,Octavia TDI,1.9L D,105HP,BKC,2003-,BV39,038253016R,5439-970-0011,413.56,8B3930M037,038253016R,54399700011,1.9,105
8B39-30M-037,SKODA,Fabia TDI,1.9L D,105HP,BLS/BLW 8v Euro 4,2007-,BV39,038253014G,5439-970-0022,413.56,8B3930M037,038253014G,54399700022,1.9,105
8B39-30M-037,SKODA,Octavia/Laura TDI,1.9L D,105HP,BJB,2007-,BV39,038253010D,5439-970-0022,413.56,8B3930M037,038253010D,54399700022,1.9,105
8B39-30M-037,VW,Touran TDI,1.9L D,100HP,AVQ,2002-2004,BV39,038253010P,5439-970-0011,413.56,8B3930M037,038253010P,54399700011,1.9,100
8B39-30M-037,VW,Touran TDI,1.9L D,100HP,AVQ,2002-2004,BV39,038253010P,5439-988-0011,413.56,8B3930M037,038253010P,54399880011,1.9,100
8B39-30M-037,VW,Golf  TDI,1.9L D,105HP,AVQ/BJB/BKC,2003-,BV39,038253016R,5439-970-0011,413.56,8B3930M037,038253016R,54399700011,1.9,105
8B39-30M-037,VW,Touran TDI,1.9L D,105HP,AVQ/BJB/BKC,2003-,BV39,038253016R,5439-988-0011,413.56,8B3930M037,038253016R,54399880011,1.9,105
8B39-30M-037,VW,Touran TDI,1.9L D,100HP,AVQ 8v,2003-2004,BV39,038253014G,5439-970-0022,413.56,8B3930M037,038253014G,54399700022,1.9,100
8B39-30M-037,VW,Touran TDI,1.9L D,105HP,BTB/BXE/BKC/BLS 8v,2003-,BV39,038253014G,5439-970-0022,413.56,8B3930M037,038253014G,54399700022,1.9,105
8B39-30M-037,VW,Touran TDI,1.9L D,105HP,BTB/BXE/BKC/BLS 8v,2003-,BV39,038253014G,5439-970-0022,413.56,8B3930M037,038253014G,54399700022,1.9,105
8B39-30M-037,VW,Jetta,1.9L D,105HP,BJB,2004-2008,BV39,038253014G,5439-970-0022,413.56,8B3930M037,038253014G,54399700022,1.9,105
8B39-30M-037,VW,Golf TDI,1.9L D,105HP,BKC,2004-2009,BV39,038253014G,5439-970-0022,413.56,8B3930M037,038253014G,54399700022,1.9,105
8B39-30M-037,VW,Caddy TDI,1.9L D,105HP,AVQ/BJB/BKC,2004-,BV39,038253016R,5439-970-0011,413.56,8B3930M037,038253016R,54399700011,1.9,105
8B39-30M-037,VW,Golf V TDI,1.9L D,105HP,BKC,2007-,BV39,038253010D,5439-970-0022,413.56,8B3930M037,038253010D,54399700022,1.9,105
8B43-300-641,KIA,Sorento,2.5L D,170HP,A-engine Euro4,2006-,BV43,28200-4A470,5303-970-0122,516.2,8B43300641,282004A470,53039700122,2.5,170
8B43-300-641,KIA,Sorento,2.5L D,170HP,A-engine Euro4,2007-,BV43,28200-4A470,5303-970-0144,516.2,8B43300641,282004A470,53039700144,2.5,170
8B43-300-641,KIA,Sorento,2.5L D,170HP,A-engine Euro4,2006-,BV43,282004A470FF,5303-988-0122,516.2,8B43300641,282004A470FF,53039880122,2.5,170
8B43-300-641,KIA,Sorento,2.5L D,170HP,A-engine Euro4,2007-,BV43,28200-4A470FF,5303-988-0144,516.2,8B43300641,282004A470FF,53039880144,2.5,170
8G14-200-919,ALFA ROMEO,Giulietta JTDM,1.6L D,104HP,"940A3000, Euro4",2010-,GT1446SZ,55230176,807068-5002S,277.31,8G14200919,55230176,8070685002S,1.6,104
8G14-200-919,FIAT,Bravo JTD,1.6L D,104HP,"198A3000, Euro4",2008-2014,GT1446SZ,55230176,807068-5001S,277.31,8G14200919,55230176,8070685001S,1.6,104
8G14-200-919,FIAT,Doblo JTD Multijet,1.6L D,104HP,"198A3000, Euro4",2010-,GT1446SZ,55230176,766891-5001S,277.31,8G14200919,55230176,7668915001S,1.6,104
8G14-200-919,FIAT,Linea JTD Multijet,1.6L D,104HP,"198A3000, Euro4",2007-,GT1446SZ,55246404,807068-0002,277.31,8G14200919,55246404,8070680002,1.6,104
8G14-200-919,FIAT,Pratico JTD Multijet,1.6L D,104HP,"198A3000, Euro4",2010-,GT1446SZ,55209152,807068-0001,277.31,8G14200919,55209152,8070680001,1.6,104
8G14-200-919,FIAT,Grande Punto JTD 1.6,1.6L D,104HP,"198A3000, Euro4",2010-,GT1446SZ,55220699,766891-0001,277.31,8G14200919,55220699,7668910001,1.6,104
8G14-40M-A58,CHEVROLET,Cruze Turbo ECOTEC,"1,4",140HP,"Ecotec B14NET,Euro5",2010-,GT1446MZGL,E55565353,853215-5003S,557.02,8G1440MA58,E55565353,8532155003S,1,140
8G14-40M-A58,CHEVROLET,Cruze Turbo ECOTEC,"1,4",140HP,"Ecotec B14NET,Euro10",2010-,GT1446MZGL,55565353,781504-5004S,557.02,8G1440MA58,55565353,7815045004S,1,140
